Date,Open,High,Low,Close
2021-04-01 16:10:00,58938.34,58994.29,58925.62,58962.56
2021-04-01 16:15:00,58962.55,59016.48,58902.55,58924.97
2021-04-01 16:20:00,58927.96,58947.46,58763.0,58786.19
2021-04-01 16:25:00,58786.19,58834.93,58759.8,58827.0
2021-04-01 16:30:00,58827.0,58866.86,58805.0,58840.21
2021-04-01 16:35:00,58840.21,58898.57,58646.0,58705.69
2021-04-01 16:40:00,58705.69,58727.87,58650.0,58682.82
2021-04-01 16:45:00,58682.81,58792.13,58680.01,58759.01
2021-04-01 16:50:00,58759.0,58794.99,58709.4,58714.8
2021-04-01 16:55:00,58714.8,58797.43,58710.0,58754.87
2021-04-01 17:00:00,58754.87,58850.62,58623.4,58678.61
2021-04-01 17:05:00,58678.61,58836.43,58678.61,58720.33
2021-04-01 17:10:00,58720.32,58790.9,58700.59,58734.25
2021-04-01 17:15:00,58734.25,58825.0,58680.86,58787.89
2021-04-01 17:20:00,58787.88,58787.89,58684.47,58696.4
2021-04-01 17:25:00,58696.39,58729.92,58601.09,58714.47
2021-04-01 17:30:00,58714.48,58748.91,58650.0,58704.21
2021-04-01 17:35:00,58704.21,58704.22,58520.48,58658.83
2021-04-01 17:40:00,58658.82,58708.24,58550.0,58593.35
2021-04-01 17:45:00,58593.76,58633.09,58452.2,58582.51
2021-04-01 17:50:00,58582.51,58582.95,58431.69,58460.86
2021-04-01 17:55:00,58460.87,58518.35,58317.33,58501.63
2021-04-01 18:00:00,58501.63,58538.89,58395.0,58534.61
2021-04-01 18:05:00,58534.61,58538.28,58360.02,58426.99
2021-04-01 18:10:00,58426.99,58479.67,58307.76,58312.62
2021-04-01 18:15:00,58312.62,58352.62,57937.0,57937.0
2021-04-01 18:20:00,57937.01,58450.0,57935.45,58415.0
2021-04-01 18:25:00,58412.95,58711.09,58317.39,58644.83
2021-04-01 18:30:00,58644.83,58789.32,58589.16,58708.5
2021-04-01 18:35:00,58708.49,58746.88,58629.36,58660.0
2021-04-01 18:40:00,58659.99,58676.89,58515.18,58622.01
2021-04-01 18:45:00,58622.0,58824.16,58559.63,58752.55
2021-04-01 18:50:00,58752.56,58818.79,58688.72,58692.8
